Participant ID,Condition,Event ID,Question Timestamp (s),Answer Timestamp (s),Time Difference (s),Answer Accuracy,Confidence
02_OL,C_R,E6_../audio/C/Cone_A.wav,217.52,220.88,3.36,Incorrect,3
02_OL,C_R,E7_../audio/C/ICE_C.wav,245.73,249.16,3.43,Correct,4
02_OL,C_R,E8_../audio/C/Tar_C.wav,275.85,285.89,10.04,Correct,5
02_OL,C_R,E9_../audio/C/Cone_B.wav,315.64,319.42,3.78,Correct,5
02_OL,C_R,E10_../audio/C/BendR_PR.wav,339.07,343.83,4.76,Correct,4
02_OL,C_R,E11_../audio/C/Mark_PR.wav,381.50,387.39,5.89,Correct,4
02_OL,C_R,E12_../audio/C/Cone_B.wav,412.14,414.66,2.52,Incorrect,3
02_OL,C_R,E13_../audio/C/Constr_P.wav,439.92,452.07,12.15,Correct,2
02_OL,C_R,E14_../audio/C/Toad_P.wav,478.01,480.48,2.47,Correct,4
02_OL,C_R,E15_../audio/C/Cone_A.wav,502.42,505.02,2.60,Correct,3
02_OL,C_R,E16_../audio/C/Tar_P.wav,530.51,532.59,2.08,Correct,6
02_OL,C_R,E17_../audio/C/ICE_P.wav,558.28,559.87,1.59,Correct,7
02_OL,C_R,E18_../audio/C/Cone_C.wav,579.69,584.22,4.53,Incorrect,3
02_OL,C_R,E19_../audio/C/Mark_C.wav,603.18,609.55,6.37,Correct,3
02_OL,C_R,E20_../audio/C/BendR_C.wav,642.08,646.36,4.28,Correct,4
02_OL,C_R,E21_../audio/C/Cone_C.wav,670.75,674.75,4.00,Correct,2
02_OL,C_R,E22_../audio/C/Toad_C.wav,692.54,701.42,8.88,Correct,3
02_OL,C_R,E23_../audio/C/Constr_C.wav,725.81,731.30,5.49,Correct,4
02_OL,C_R,E24_../audio/C/Cone_B.wav,751.81,753.30,1.49,Correct,7
02_OL,C_R,E25_../audio/C/ICE_PR.wav,774.94,780.71,5.77,Correct,4
