Participant_ID,Condition,Reversals,Reversal_rate,Session_Length_min_sec,Throttle_SD,Throttle_CV
participant_21_RT,A,266,41.37737932893979,6:25,0.21579044384336168,0.36481324295862755
participant_21_RT,C,614,71.52189824243284,8:35,0.24390381331138658,0.4772445420559113
participant_21_RT,B,596,39.56338660819192,15:03,0.2535974193018219,0.4273422362639241
participant_08_OL,A,208,35.37745877590591,5:52,0.387918386509528,0.8342570264481324
participant_08_OL,C,519,50.435683975251855,10:17,0.338893464148184,0.7575212480747833
participant_08_OL,B,211,13.114061256961017,16:05,0.17164490574571933,0.28556116464995296
participant_09_RT,A,221,21.79089613827852,10:08,0.11183468242855489,0.15149075434530823
participant_09_RT,C,703,42.743790597987456,16:26,0.12167584121950756,0.16494014320210984
participant_09_RT,B,528,36.39592981375807,14:30,0.14322273670364405,0.19240395947522643
participant_19_RT,A,542,63.73758616431832,8:30,0.23603413994715833,0.33626618344567594
participant_19_RT,C,667,61.19640344975227,10:53,0.5992218930684307,1.1558515438935812
participant_19_RT,B,930,56.895001192959704,16:20,0.2628016614979995,0.40593697031371634
participant_18_OL,A,32,3.2405117983321485,9:52,0.10359848662267312,0.14414809042814283
participant_18_OL,C,284,26.16848264264818,10:51,0.19833953043986305,0.3152969954713089
participant_18_OL,B,217,17.439360717505128,12:26,0.4785637826057864,0.8261883387124708
participant_07_RT,A,492,64.71413539109085,7:36,0.2715933683108841,0.5435954185382712
participant_07_RT,C,494,51.097809896838974,9:40,0.4833236651372216,1.0565991595203255
participant_07_RT,B,994,56.360495488514324,17:38,0.4464096106346797,0.9167471007714045
participant_06_OL,A,95,15.48938297907031,6:07,0.2229506916977248,0.3923849721657536
participant_06_OL,C,739,43.12415750335053,17:08,0.330535589511055,0.47953380129472667
participant_06_OL,B,131,8.131384973490237,16:06,0.09379451306387995,0.12235692172950444
participant_16_OL,A,83,9.956236542586902,8:20,0.11984872335082636,0.17505575035110119
participant_16_OL,C,457,37.204884667571235,12:17,0.18900881739630085,0.29489759483711364
participant_16_OL,B,87,6.057926309156173,14:21,0.08461628857245161,0.1173871461969282
participant_17_RT,A,215,29.97866634441537,7:10,0.17241345037641043,0.27929190313465124
participant_17_RT,C,516,53.772311775198396,9:35,0.3627825837276602,0.7093805794556127
participant_17_RT,B,411,32.05990756450009,12:49,0.18219277142544182,0.27652054996462877
participant_23_RT,A,617,58.73794341038655,10:30,0.3371564338758037,0.4751483261947475
participant_23_RT,C,927,67.26766532099084,13:46,0.6581882918495008,1.0418579791428553
participant_23_RT,B,874,65.38376178565996,13:22,0.4128717317446356,0.6040614498458555
participant_22_OL,A,307,35.92506055771608,8:32,0.1681297354118399,0.23962722861784597
participant_22_OL,C,784,56.37016407744187,13:54,0.2785361905053477,0.4185540821632888
participant_22_OL,B,166,12.545676465142291,13:13,0.10824600028242598,0.16338193203118967
participant_02_OL,A,64,6.868979580884918,9:19,0.10120750750223559,0.13960942006715854
participant_02_OL,C,457,37.720742694185475,12:06,0.21140350705131813,0.34039265902371446
participant_02_OL,B,155,9.072099781391659,17:05,0.2854980934178966,0.5245137907811365
participant_03_RT,A,91,12.348275651507237,7:22,0.12135340018158824,0.17544105408198948
participant_03_RT,C,330,27.526609055420238,11:59,0.1521493030652191,0.22571373599803649
participant_03_RT,B,120,7.784743200783664,15:24,0.09697101535974281,0.1378322181099167
participant_13_RT,A,94,14.627276758968932,6:25,0.1469566147290702,0.25733111591708485
participant_13_RT,C,394,41.02222384182497,9:36,0.5477815832464179,1.1319026947356925
participant_13_RT,B,349,24.116922155550693,14:28,0.2261129562630689,0.3910756119643311
participant_12_OL,A,164,22.728690120642227,7:12,0.23075226595348564,0.3631668419950377
participant_12_OL,C,610,64.43503153091297,9:28,0.3081846660881888,0.6846758628758557
participant_12_OL,B,348,30.591613678319224,11:22,0.33430636159255533,0.6108189806266251
